;date;ghostrider44;Peilscheibe;Albrecht Kurz;feisalsbrother;20Jakob09;Henri97;20jojoma11;ramack;changchun_1;micha_k;svenosm;Quarkteilchen;L___I;ASt;tordans;Supaplex030;Michael Be;st1974;Lizium;UE_Su;sargafl;MitteloberrheinischerWaldameisenschreck;DirkScheumann;st0rm-r1der;Yokr;Eric B\xc3\xb6hnisch-Volkmann;mrab;townlion;SaijaP;CatuBu;Friedrich Eberhardt;Loth;quellcode1234;\xe1\x9a\x9b\xe1\x9a\x90\xe1\x9a\x8b\xe1\x9a\x90\xe1\x9a\x85\xe1\x9a\x87\xe1\x9a\x90\xe1\x9a\x9c \xf0\x9f\x8f\xb3\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x8c\x88;xMaxnetx;TheCrazyMaffin;rkrause;trapicki;okilimu;whb;skyper;Shezi;Wariner;a_hei;Impecco;Geofreund1;fraq42;biker82;michael2402;Stingray80;Kasamap;DD1GJ;Baw\xc3\xbcTata;srikmar;jf_simon;miscosm;DianaDemchuk;navigate1972;Ygramul;macabu;iamdavid;Timonade;Markus K;Stefan Karl;Walter Schl\xc3\xb6gl;WanderTobi;hagu;Ethera;Slumpine;Jorisbo;Qwave;MaestroGlanz;MarkusHD;blue_fire;Mitsch;Nakaner;Oehly18;Nonexhudlix;miles25;Troynie;Maki001;KVI0n;Freischneider;Daniel22Ka;AtomMapper;AllesMeins;SteveK;Tschaeck;frunk!;fx99;kartler175;j1scad;icebird333;regedemu;remoh10;geodreieck4711;sierra-uniform;singhiyv;friedel_hn;Voitl-Fan;fanzinies;bikeboerny;asnghpi;adlermb201;alleswasbewegt_de;Ze0zohk1;Westwind;mapper999;*cw
30;2022-01-31;357;287;10;;;57.0;;2;21;11;;23;;;;;;;4;;;10;11;12;11;4;11;9;;;;8;8;;7;;6;6;3;;4;;4;;4;4;3;;3;3;3;;3;1.0;;1;;2;;;2;;2.0;2;2.0;2;2.0;2.0;2.0;2;2;2.0;2.0;2;2;1.0;1.0;1;1.0;1.0;1;1;1;1;1;1;1;;;1.0;1.0;1.0;1;1.0;1.0;1;1;1.0;1;1;1;1.0;1.0;1;;1.0;1.0;1.0;1.0
31;2022-02-01;357;287;10;;;57.0;;2;21;11;;23;;;;;;;4;;;10;11;12;11;4;11;9;;;;8;8;;7;;6;6;3;;4;;4;;4;4;3;;3;3;3;;3;1.0;;1;;2;;;2;;2.0;2;2.0;2;2.0;2.0;2.0;2;2;2.0;2.0;2;2;1.0;1.0;1;1.0;1.0;1;1;1;1;1;1;1;;;1.0;1.0;1.0;1;1.0;1.0;1;1;1.0;1;1;1;1.0;1.0;1;;1.0;1.0;1.0;1.0
32;2022-02-02;357;287;10;;;57.0;;2;21;11;;23;;;;;;;4;;;10;11;12;11;4;11;9;;;;8;8;;7;;6;6;3;;4;;4;;4;4;3;;3;3;3;;3;1.0;;1;;2;;;2;;2.0;2;2.0;2;2.0;2.0;2.0;2;2;2.0;2.0;2;2;1.0;1.0;1;1.0;1.0;1;1;1;1;1;1;1;;;1.0;1.0;1.0;1;1.0;1.0;1;1;1.0;1;1;1;1.0;1.0;1;;1.0;1.0;1.0;1.0
33;2022-02-03;357;287;10;;;57.0;;2;21;11;;23;;;;;;;4;;;10;11;12;11;4;11;9;;;;8;8;;7;;6;6;3;;4;;4;;4;4;3;;3;3;3;;3;1.0;;1;;2;;;2;;2.0;2;2.0;2;2.0;2.0;2.0;2;2;2.0;2.0;2;2;1.0;1.0;1;1.0;1.0;1;1;1;1;1;1;1;;;1.0;1.0;1.0;1;1.0;1.0;1;1;1.0;1;1;1;1.0;1.0;1;;1.0;1.0;1.0;1.0
34;2022-02-04;357;287;10;;;57.0;;2;21;11;;23;;;;;;;4;;;10;11;12;11;4;11;9;;;;8;8;;7;;6;6;3;;4;;4;;4;4;3;;3;3;3;;3;1.0;;1;;2;;;2;;2.0;2;2.0;2;2.0;2.0;2.0;2;2;2.0;2.0;2;2;1.0;1.0;1;1.0;1.0;1;1;1;1;1;1;1;;;1.0;1.0;1.0;1;1.0;1.0;1;1;1.0;1;1;1;1.0;1.0;1;;1.0;1.0;1.0;1.0
35;2022-02-05;357;287;10;;;57.0;;2;21;11;;23;;;;;;;4;;;10;11;12;11;4;11;9;;;;8;8;;7;;6;6;3;;4;;4;;4;4;3;;3;3;3;;3;1.0;;1;;2;;;2;;2.0;2;2.0;2;2.0;2.0;2.0;2;2;2.0;2.0;2;2;1.0;1.0;1;1.0;1.0;1;1;1;1;1;1;1;;;1.0;1.0;1.0;1;1.0;1.0;1;1;1.0;1;1;1;1.0;1.0;1;;1.0;1.0;1.0;1.0
36;2022-02-06;357;287;10;;;57.0;;2;21;11;;23;;;;;;;4;;;10;11;12;11;4;11;9;;;;8;8;;7;;6;6;3;;4;;4;;4;4;3;;3;3;3;;3;1.0;;1;;2;;;2;;2.0;2;2.0;2;2.0;2.0;2.0;2;2;2.0;2.0;2;2;1.0;1.0;1;1.0;1.0;1;1;1;1;1;1;1;;;1.0;1.0;1.0;1;1.0;1.0;1;1;1.0;1;1;1;1.0;1.0;1;;1.0;1.0;1.0;1.0
37;2022-02-07;357;287;10;;;57.0;;2;21;11;;23;;;;;;;4;;;10;11;12;11;4;11;9;;;;8;8;;7;;6;6;3;;4;;4;;4;4;3;;3;3;3;;3;1.0;;1;;2;;;2;;2.0;2;2.0;2;2.0;2.0;2.0;2;2;2.0;2.0;2;2;1.0;1.0;1;1.0;1.0;1;1;1;1;1;1;1;;;1.0;1.0;1.0;1;1.0;1.0;1;1;1.0;1;1;1;1.0;1.0;1;;1.0;1.0;1.0;1.0
38;2022-02-08;357;286;10;;;57.0;;2;21;11;;23;;;;;;;4;;;10;11;12;11;4;11;9;;;;8;8;;7;;6;6;3;;4;;4;;4;4;3;;3;3;3;;3;1.0;;1;;2;;;2;;2.0;2;2.0;2;2.0;2.0;2.0;2;2;2.0;2.0;2;2;1.0;1.0;1;1.0;1.0;1;1;1;1;1;1;1;;;1.0;1.0;1.0;1;1.0;1.0;1;1;1.0;1;1;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0
39;2022-02-09;357;286;10;;;57.0;;2;21;11;;23;;;;;;;4;;;10;11;12;11;4;11;9;;;;8;8;;7;;6;6;3;;4;;4;;4;4;3;;3;3;3;;3;1.0;;1;;2;;;2;;2.0;2;2.0;2;2.0;2.0;2.0;2;2;2.0;2.0;2;2;1.0;1.0;1;1.0;1.0;1;1;1;1;1;1;1;;;1.0;1.0;1.0;1;1.0;1.0;1;1;1.0;1;1;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0
40;2022-02-10;357;286;10;;;57.0;;2;21;11;;23;;;;;;;4;;;10;11;12;11;4;11;9;;;;8;8;;7;;6;6;3;;4;;4;;4;4;3;;3;3;3;;3;1.0;;1;;2;;;2;;2.0;2;2.0;2;2.0;2.0;2.0;2;2;2.0;2.0;2;2;1.0;1.0;1;1.0;1.0;1;1;1;1;1;1;1;;;1.0;1.0;1.0;1;1.0;1.0;1;1;1.0;1;1;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0
41;2022-02-11;357;286;10;;;57.0;;2;21;11;;23;;;;;;;4;;;10;11;12;11;4;11;9;;;;8;8;;7;;6;6;3;;4;;4;;4;4;3;;3;3;3;;3;1.0;;1;;2;;;2;;2.0;2;2.0;2;2.0;2.0;2.0;2;2;2.0;2.0;2;2;1.0;1.0;1;1.0;1.0;1;1;1;1;1;1;1;;;1.0;1.0;1.0;1;1.0;1.0;1;1;1.0;1;1;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0
